#       SHIFT                | Serpent              | Serpent, myAMPX      | SHIFT, myAMPX        | Serpent, noSab       | Serpent, noSab, Pu239 for U5 | Serpent, noSab, Th232 for U8 | SHIFT, noSab, Th232 for U8 | SHIFT, detailed AMPX | KENO                 |
#           keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)  
 610.0 1.07641100 0.00017100  1.07518000 0.00006881  1.21086000 0.00014530  1.07598500 0.00019500  1.07695000 0.00007323  1.30199000 0.00008333  0.67464600 0.00003711  0.67663800 0.00009900      NaN         NaN    1.07574000 0.00011000  
 620.0 1.07616400 0.00015900  1.07493000 0.00007095  1.21058000 0.00015738  1.07585200 0.00018500  1.07656000 0.00007428  1.30293000 0.00008339  0.67477500 0.00003374  0.67651500 0.00010300      NaN         NaN    1.07550000 0.00012000  
 630.0 1.07582400 0.00017200  1.07468000 0.00006770  1.21023000 0.00014523  1.07584400 0.00016600  1.07634000 0.00006889  1.30402000 0.00008607  0.67473400 0.00003576  0.67653400 0.00010000      NaN         NaN    1.07513000 0.00013000  
 640.0 1.07558900 0.00017500  1.07441000 0.00006661  1.21015000 0.00015732  1.07563300 0.00016200  1.07614000 0.00006672  1.30492000 0.00008351  0.67480600 0.00003779  0.67651900 0.00010900      NaN         NaN    1.07508000 0.00013000  
 650.0 1.07521800 0.00018700  1.07411000 0.00006767  1.21007000 0.00014521  1.07519400 0.00016300  1.07574000 0.00007100  1.30588000 0.00008358  0.67483900 0.00003644  0.67669800 0.00010200      NaN         NaN    1.07467000 0.00012000  
 660.0 1.07530300 0.00016900  1.07380000 0.00006765  1.20961000 0.00014515  1.07509000 0.00015600  1.07555000 0.00006668  1.30682000 0.00008364  0.67503200 0.00003713  0.67689600 0.00010600      NaN         NaN    1.07466000 0.00012000  
 670.0 1.07456100 0.00016500  1.07359000 0.00006871  1.20919000 0.00014510  1.07446500 0.00017500  1.07526000 0.00007097  1.30774000 0.00008631  0.67501600 0.00003848  0.67667200 0.00010200      NaN         NaN    1.07427000 0.00012000  
 680.0 1.07432900 0.00016900  1.07348000 0.00006656  1.20922000 0.00014511  1.07433600 0.00017300  1.07489000 0.00006449  1.30874000 0.00008245  0.67512500 0.00003713  0.67688000 0.00010400      NaN         NaN    1.07420000 0.00011000  
 690.0 1.07449400 0.00016600  1.07313000 0.00006653  1.20909000 0.00015718  1.07433300 0.00016800  1.07471000 0.00006771  1.30959000 0.00007858  0.67511500 0.00003578  0.67683300 0.00009600      NaN         NaN    1.07382000 0.00013000  
 700.0 1.07393000 0.00019000  1.07285000 0.00007081  1.20875000 0.00015714  1.07399900 0.00017200  1.07444000 0.00006876  1.31036000 0.00008517  0.67527100 0.00003579  0.67685100 0.00010100      NaN         NaN    1.07360000 0.00014000  
 710.0 1.07372600 0.00017900  1.07286000 0.00006866  1.20869000 0.00015713  1.07372600 0.00017200  1.07427000 0.00006768  1.31132000 0.00008392  0.67533700 0.00003579  0.67714700 0.00010100      NaN         NaN    1.07366000 0.00012000  
 720.0 1.07353300 0.00017300  1.07256000 0.00006650  1.20849000 0.00015710  1.07339800 0.00020000  1.07390000 0.00007303  1.31215000 0.00008135  0.67547200 0.00003783  0.67723900 0.00009300      NaN         NaN    1.07334000 0.00012000  
 730.0 1.07346800 0.00016400  1.07236000 0.00006756  1.20843000 0.00014501  1.07323600 0.00017300  1.07376000 0.00006979  1.31321000 0.00008142  0.67547500 0.00003918  0.67730200 0.00011400      NaN         NaN    1.07319000 0.00012000  
 740.0 1.07305900 0.00016100  1.07202000 0.00006968  1.20802000 0.00014496  1.07331500 0.00016400  1.07348000 0.00006548  1.31404000 0.00007753  0.67564000 0.00003581  0.67748000 0.00010800      NaN         NaN    1.07284000 0.00013000  
 750.0 1.07325100 0.00018500  1.07189000 0.00006967  1.20788000 0.00014495  1.07304300 0.00018000  1.07329000 0.00006762  1.31487000 0.00008678  0.67568700 0.00003581  0.67734200 0.00010100      NaN         NaN    1.07264000 0.00013000  
 760.0 1.07291400 0.00017700  1.07173000 0.00006966  1.20785000 0.00014494  1.07266000 0.00017500  1.07309000 0.00006546  1.31584000 0.00008553  0.67582300 0.00003717  0.67763700 0.00010200      NaN         NaN    1.07271000 0.00012000  
